Date,Year,Months,Item,Domain,Area,Element,Value
2010-04-12,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-13,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-14,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-15,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-16,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-17,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-18,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-19,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-20,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-21,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-22,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-23,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-24,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-25,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-26,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-27,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-28,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-29,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-04-30,2010.0,April,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-05-01,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1350.00
2010-05-02,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1351.61
2010-05-03,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1353.23
2010-05-04,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1354.84
2010-05-05,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1356.45
2010-05-06,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1358.06
2010-05-07,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1359.68
2010-05-08,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1361.29
2010-05-09,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1362.90
2010-05-10,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1364.52
2010-05-11,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1366.13
2010-05-12,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1367.74
2010-05-13,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1369.35
2010-05-14,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1370.97
2010-05-15,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1372.58
2010-05-16,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1374.19
2010-05-17,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1375.81
2010-05-18,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1377.42
2010-05-19,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1379.03
2010-05-20,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1380.65
2010-05-21,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1382.26
2010-05-22,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1383.87
2010-05-23,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1385.48
2010-05-24,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1387.10
2010-05-25,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1388.71
2010-05-26,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1390.32
2010-05-27,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1391.94
2010-05-28,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1393.55
2010-05-29,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1395.16
2010-05-30,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1396.77
2010-05-31,2010.0,May,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1398.39
2010-06-01,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1400.00
2010-06-02,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1403.33
2010-06-03,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1406.67
2010-06-04,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1410.00
2010-06-05,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1413.33
2010-06-06,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1416.67
2010-06-07,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1420.00
2010-06-08,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1423.33
2010-06-09,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1426.67
2010-06-10,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1430.00
2010-06-11,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1433.33
2010-06-12,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1436.67
2010-06-13,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1440.00
2010-06-14,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1443.33
2010-06-15,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1446.67
2010-06-16,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-06-17,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1453.33
2010-06-18,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1456.67
2010-06-19,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1460.00
2010-06-20,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1463.33
2010-06-21,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1466.67
2010-06-22,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1470.00
2010-06-23,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1473.33
2010-06-24,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1476.67
2010-06-25,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1480.00
2010-06-26,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1483.33
2010-06-27,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1486.67
2010-06-28,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1490.00
2010-06-29,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1493.33
2010-06-30,2010.0,June,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1496.67
2010-07-01,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-02,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-03,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-04,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-05,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-06,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-07,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-08,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-09,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-10,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-11,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-12,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-13,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-14,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-15,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-16,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-17,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-18,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-19,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-20,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-21,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-22,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-23,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-24,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-25,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-26,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-27,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-28,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-29,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-30,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-07-31,2010.0,July,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-08-01,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1500.00
2010-08-02,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1498.39
2010-08-03,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1496.77
2010-08-04,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1495.16
2010-08-05,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1493.55
2010-08-06,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1491.94
2010-08-07,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1490.32
2010-08-08,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1488.71
2010-08-09,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1487.10
2010-08-10,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1485.48
2010-08-11,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1483.87
2010-08-12,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1482.26
2010-08-13,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1480.65
2010-08-14,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1479.03
2010-08-15,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1477.42
2010-08-16,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1475.81
2010-08-17,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1474.19
2010-08-18,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1472.58
2010-08-19,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1470.97
2010-08-20,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1469.35
2010-08-21,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1467.74
2010-08-22,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1466.13
2010-08-23,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1464.52
2010-08-24,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1462.90
2010-08-25,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1461.29
2010-08-26,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1459.68
2010-08-27,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1458.06
2010-08-28,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1456.45
2010-08-29,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1454.84
2010-08-30,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1453.23
2010-08-31,2010.0,August,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1451.61
2010-09-01,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-02,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-03,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-04,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-05,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-06,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-07,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-08,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-09,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-10,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-11,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-12,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-13,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-14,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-15,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-16,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-17,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-18,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-19,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-20,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-21,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-22,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-23,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-24,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-25,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-26,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-27,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-28,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-29,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
2010-09-30,2010.0,September,Papayas,Producer Prices,Malaysia,Producer Price (LCU/tonne),1450.00
